waitTime,numInQueue,sessionTime,hoursToDeadline,signUpTimeClean,adjustedSessionTAs,bitAndKarel,imagesAndGraphics,mapsAndDictionaries,lambdas,fileReading,grids,strings,userInteraction,queuesAndStacks,recursion,structs,objectOrientedProgramming,pointersAndMemory,sorting,hashTables,CS106ABinary
1,0,0,73.26666667,77778,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,73.23333333,66667,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,1.1,44444,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,73.16666667,44444,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0.01,73.1,22222,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0.01,73.05,55556,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,6,0.01,53.25,55556,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,5,0.02,-18.76666667,22222,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,4,0.01,53.31666667,77778,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
33,1,0.01,53.45,22222,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
35,1,0,53.45,22222,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
39,0,0.08,53.48333333,33333,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
13,7,0.01,53,22222,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
35,3,0.01,173.2833333,88889,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,5,0.01,172.8833333,55556,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,0,52.9,88889,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,4,0.01,172.8,77778,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,0.01,52.78333333,839.8,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.03,52.71666667,77778,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,52.61666667,44444,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0.01,52.55,22222,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
